UID          PID    PPID  C STIME TTY          TIME CMD
lienn        944     890  0 13:35 ?        00:00:01 xfce4-session
lienn        989     944  0 13:35 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
lienn       1000     897  0 13:35 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
lienn       1007    1000  0 13:35 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
lienn       1018     897  0 13:35 ?        00:00:01 /usr/libexec/at-spi2-registryd --use-gnome-session
lienn       1031     897  0 13:35 ?        00:00:00 /usr/bin/gpg-agent --supervised
lienn       1033     944  0 13:35 ?        00:00:15 xfwm4
lienn       1037     897  0 13:35 ?        00:00:00 /usr/libexec/gvfsd
lienn       1043     897  0 13:35 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
lienn       1058     944  0 13:35 ?        00:00:02 xfsettingsd
root        1062       1  0 13:35 ?        00:00:00 /usr/libexec/upowerd
lienn       1068     944  0 13:35 ?        00:00:08 xfce4-panel
lienn       1073     944  0 13:35 ?        00:00:01 Thunar --daemon
lienn       1083     944  0 13:35 ?        00:00:05 xfdesktop
lienn       1088    1068  0 13:35 ?        00:00:06 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
lienn       1092     944  0 13:35 ?        00:00:01 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
lienn       1094     944  0 13:35 ?        00:00:00 xiccd
lienn       1105     897  0 13:35 ?        00:00:00 /usr/libexec/dconf-service
lienn       1107     944  0 13:35 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
colord      1118       1  0 13:35 ?        00:00:00 /usr/libexec/colord
lienn       1128     944  0 13:35 ?        00:00:02 light-locker
lienn       1131       1  0 13:35 ?        00:00:00 xcape -e Super_L Control_L Escape
lienn       1138     944  0 13:35 ?        00:00:01 nm-applet
lienn       1139     944  0 13:35 ?        00:00:03 /usr/bin/python3 /usr/bin/blueman-applet
lienn       1140     944  0 13:35 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
lienn       1153     944  0 13:35 ?        00:00:01 xfce4-power-manager
lienn       1197    1068  0 13:35 ?        00:00:01 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
lienn       1198    1068  0 13:35 ?        00:00:23 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
lienn       1199    1068  0 13:35 ?        00:00:02 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
